retail_investments_grouped_by,date,category,subcategory,number_of_sales
Number of provider and non-provider sales by sector,Q4-2020,Investment Management,Provider,158014
Number of provider and non-provider sales by sector,Q4-2021,Investment Management,Provider,178622
Number of provider and non-provider sales by sector,Q1-2019,Pensions & Retirement Income,Non-provider,372763
Number of provider and non-provider sales by sector,Q1-2020,Pensions & Retirement Income,Non-provider,380262
Number of provider and non-provider sales by sector,Q1-2021,Pensions & Retirement Income,Non-provider,386784
Number of provider and non-provider sales by sector,Q1-2018,Pensions & Retirement Income,Non-provider,402293
Number of provider and non-provider sales by sector,Q1-2017,Pensions & Retirement Income,Non-provider,402791
Number of provider and non-provider sales by sector,Q2-2020,Pensions & Retirement Income,Non-provider,271555
Number of provider and non-provider sales by sector,Q2-2021,Pensions & Retirement Income,Non-provider,276052
Number of provider and non-provider sales by sector,Q2-2018,Pensions & Retirement Income,Non-provider,396719
Number of provider and non-provider sales by sector,Q2-2019,Pensions & Retirement Income,Non-provider,398596
Number of provider and non-provider sales by sector,Q2-2017,Pensions & Retirement Income,Non-provider,443465
Number of provider and non-provider sales by sector,Q3-2020,Pensions & Retirement Income,Non-provider,238918
Number of provider and non-provider sales by sector,Q3-2021,Pensions & Retirement Income,Non-provider,298199
Number of provider and non-provider sales by sector,Q3-2019,Pensions & Retirement Income,Non-provider,385030
Number of provider and non-provider sales by sector,Q3-2018,Pensions & Retirement Income,Non-provider,409338
Number of provider and non-provider sales by sector,Q3-2017,Pensions & Retirement Income,Non-provider,432091
Number of provider and non-provider sales by sector,Q4-2020,Pensions & Retirement Income,Non-provider,280622
Number of provider and non-provider sales by sector,Q4-2021,Pensions & Retirement Income,Non-provider,332932
Number of provider and non-provider sales by sector,Q4-2018,Pensions & Retirement Income,Non-provider,399324
Number of provider and non-provider sales by sector,Q4-2019,Pensions & Retirement Income,Non-provider,399798
Number of provider and non-provider sales by sector,Q4-2017,Pensions & Retirement Income,Non-provider,434356
Number of provider and non-provider sales by sector,Q1-2019,Pensions & Retirement Income,Provider,89229
Number of provider and non-provider sales by sector,Q1-2020,Pensions & Retirement Income,Provider,111443
Number of provider and non-provider sales by sector,Q1-2018,Pensions & Retirement Income,Provider,115995
Number of provider and non-provider sales by sector,Q1-2021,Pensions & Retirement Income,Provider,125409
Number of provider and non-provider sales by sector,Q1-2017,Pensions & Retirement Income,Provider,154542
Number of provider and non-provider sales by sector,Q2-2020,Pensions & Retirement Income,Provider,94616
Number of provider and non-provider sales by sector,Q2-2021,Pensions & Retirement Income,Provider,98361
Number of provider and non-provider sales by sector,Q2-2018,Pensions & Retirement Income,Provider,99711
Number of provider and non-provider sales by sector,Q2-2019,Pensions & Retirement Income,Provider,102662
Number of provider and non-provider sales by sector,Q2-2017,Pensions & Retirement Income,Provider,141876
Number of provider and non-provider sales by sector,Q3-2020,Pensions & Retirement Income,Provider,88857
Number of provider and non-provider sales by sector,Q3-2021,Pensions & Retirement Income,Provider,100751
Number of provider and non-provider sales by sector,Q3-2018,Pensions & Retirement Income,Provider,101032
Number of provider and non-provider sales by sector,Q3-2019,Pensions & Retirement Income,Provider,104611
Number of provider and non-provider sales by sector,Q3-2017,Pensions & Retirement Income,Provider,147615
Number of provider and non-provider sales by sector,Q4-2019,Pensions & Retirement Income,Provider,100949
Number of provider and non-provider sales by sector,Q4-2018,Pensions & Retirement Income,Provider,112798
Number of provider and non-provider sales by sector,Q4-2021,Pensions & Retirement Income,Provider,121505
Number of provider and non-provider sales by sector,Q4-2020,Pensions & Retirement Income,Provider,127742
Number of provider and non-provider sales by sector,Q4-2017,Pensions & Retirement Income,Provider,139147
Number of provider and non-provider sales by sector,Q1-2021,Retail Banking,Non-provider,1
Number of provider and non-provider sales by sector,Q1-2020,Retail Banking,Non-provider,88
Number of provider and non-provider sales by sector,Q1-2017,Retail Banking,Non-provider,110
Number of provider and non-provider sales by sector,Q1-2019,Retail Banking,Non-provider,215
Number of provider and non-provider sales by sector,Q1-2018,Retail Banking,Non-provider,223
Number of provider and non-provider sales by sector,Q2-2020,Retail Banking,Non-provider,29
Number of provider and non-provider sales by sector,Q2-2018,Retail Banking,Non-provider,164
Number of provider and non-provider sales by sector,Q2-2017,Retail Banking,Non-provider,169
Number of provider and non-provider sales by sector,Q2-2019,Retail Banking,Non-provider,227
Number of provider and non-provider sales by sector,Q3-2021,Retail Banking,Non-provider,1
Number of provider and non-provider sales by sector,Q3-2020,Retail Banking,Non-provider,17
Number of provider and non-provider sales by sector,Q3-2018,Retail Banking,Non-provider,126
Number of provider and non-provider sales by sector,Q3-2019,Retail Banking,Non-provider,162
Number of provider and non-provider sales by sector,Q3-2017,Retail Banking,Non-provider,215
Number of provider and non-provider sales by sector,Q4-2020,Retail Banking,Non-provider,12
Number of provider and non-provider sales by sector,Q4-2019,Retail Banking,Non-provider,101
Number of provider and non-provider sales by sector,Q4-2018,Retail Banking,Non-provider,139
Number of provider and non-provider sales by sector,Q4-2017,Retail Banking,Non-provider,253
Number of provider and non-provider sales by sector,Q1-2020,Retail Banking,Provider,3033
Number of provider and non-provider sales by sector,Q1-2019,Retail Banking,Provider,3622
Number of provider and non-provider sales by sector,Q1-2018,Retail Banking,Provider,7941
Number of provider and non-provider sales by sector,Q1-2017,Retail Banking,Provider,7951
Number of provider and non-provider sales by sector,Q1-2021,Retail Banking,Provider,13909
Number of provider and non-provider sales by sector,Q2-2020,Retail Banking,Provider,2250
Number of provider and non-provider sales by sector,Q2-2019,Retail Banking,Provider,3119
Number of provider and non-provider sales by sector,Q2-2021,Retail Banking,Provider,4749
Number of provider and non-provider sales by sector,Q2-2018,Retail Banking,Provider,6377
Number of provider and non-provider sales by sector,Q2-2017,Retail Banking,Provider,7837
Number of provider and non-provider sales by sector,Q3-2019,Retail Banking,Provider,3957
Number of provider and non-provider sales by sector,Q3-2017,Retail Banking,Provider,5918
Number of provider and non-provider sales by sector,Q3-2018,Retail Banking,Provider,6115
Number of provider and non-provider sales by sector,Q3-2021,Retail Banking,Provider,7301
Number of provider and non-provider sales by sector,Q3-2020,Retail Banking,Provider,7853
Number of provider and non-provider sales by sector,Q4-2019,Retail Banking,Provider,1764
Number of provider and non-provider sales by sector,Q4-2018,Retail Banking,Provider,4165
Number of provider and non-provider sales by sector,Q4-2017,Retail Banking,Provider,4591
Number of provider and non-provider sales by sector,Q4-2021,Retail Banking,Provider,4640
Number of provider and non-provider sales by sector,Q4-2020,Retail Banking,Provider,7189
Number of provider and non-provider sales by sector,Q1-2019,Retail Investments,Non-provider,64987
Number of provider and non-provider sales by sector,Q1-2017,Retail Investments,Non-provider,73327
Number of provider and non-provider sales by sector,Q1-2018,Retail Investments,Non-provider,84405
Number of provider and non-provider sales by sector,Q1-2020,Retail Investments,Non-provider,85561
Number of provider and non-provider sales by sector,Q1-2021,Retail Investments,Non-provider,263272
Number of provider and non-provider sales by sector,Q2-2019,Retail Investments,Non-provider,61184
Number of provider and non-provider sales by sector,Q2-2017,Retail Investments,Non-provider,62766
Number of provider and non-provider sales by sector,Q2-2020,Retail Investments,Non-provider,86192
Number of provider and non-provider sales by sector,Q2-2018,Retail Investments,Non-provider,88073
Number of provider and non-provider sales by sector,Q2-2021,Retail Investments,Non-provider,118753
Number of provider and non-provider sales by sector,Q3-2017,Retail Investments,Non-provider,70499
Number of provider and non-provider sales by sector,Q3-2019,Retail Investments,Non-provider,72944
Number of provider and non-provider sales by sector,Q3-2018,Retail Investments,Non-provider,79704
Number of provider and non-provider sales by sector,Q3-2020,Retail Investments,Non-provider,84922
